Price,Rating,Review_Count,displaySize,Memory,Color,Brand,Unlocked,renew
267.52,4.35,1051.0,6.8,128,0,0,1,0
255.99,4.25,1430.0,6.7,128.0,1,1,1,1
128.0,4.35,11912.0,5.8,128,2,1,1,1
19.99,4.05,370.0,1.44,8,0,2,0,0
85.79,3.95,1402.0,6.5,32,0,1,1,0
329.5,4.35,3732.0,6.13,128,3,3,1,0
222.0,4.35,2785.0,6.7,128.0,4,1,1,1
111.0,4.05,895.0,5.8,128.00,5,3,1,1
49.88,4.05,202.0,6.51,32,0,4,0,0
44.99,3.65,2467.0,2.4,0.13,0,5,1,0
24.69,3.55,812.0,2.5,2,0,6,1,0
28.99,3.75,3407.0,2.4,0,0,7,1,0
39.88,4.05,1084.0,5.5,32,0,2,0,0
349.0,4.35,3500.0,6.5,128,0,1,1,0
75.37,4.65,4186.0,6.53,32,6,8,0,0
89.99,1.55,8.0,6.0,16,7,9,1,0
799.99,5.05,7.0,6.1,128,8,1,1,0
267.52,4.35,1051.0,6.8,128,0,0,1,0
255.99,4.25,1430.0,6.7,128.0,1,1,1,1
128.0,4.35,11912.0,5.8,128,2,1,1,1
19.99,4.05,370.0,1.44,8,0,2,0,0
85.79,3.95,1402.0,6.5,32,0,1,1,0
329.5,4.35,3732.0,6.13,128,3,3,1,0
222.0,4.35,2785.0,6.7,128.0,4,1,1,1
111.0,4.05,895.0,5.8,128.00,5,3,1,1
49.88,4.05,202.0,6.51,32,0,4,0,0
44.99,3.65,2467.0,2.4,0.13,0,5,1,0
24.69,3.55,812.0,2.5,2,0,6,1,0
28.99,3.75,3407.0,2.4,0,0,7,1,0
39.88,4.05,1084.0,5.5,32,0,2,0,0
439.99,3.95,89.0,6.78,256.0,0,10,1,0
349.0,4.35,3500.0,6.5,128,0,1,1,0
75.37,4.65,4186.0,6.53,32,6,8,0,0
89.99,1.55,8.0,6.0,16,7,9,1,0
199.99,3.85,113.0,6.6,64,0,1,1,0
239.0,3.05,8.0,6.8,4,9,11,1,0
799.99,4.45,8.0,6.1,128,10,1,1,0
99.99,3.95,149.0,6.5,32,0,12,1,0
239.99,4.05,296.0,6.5,256.00,11,13,1,0
74.72,3.65,561.0,6.52,32,9,5,1,0
158.0,4.35,14220.0,6.1,128,12,1,1,1
291.99,4.35,645.0,6.43,128,13,14,1,0
179.99,4.35,412.0,6.8,4,0,0,1,0
179.99,4.15,1924.0,6.49,64,14,14,1,0
89.99,3.95,322.0,6.53,64.00,0,13,1,0
98.87,4.25,761.0,6.5,32,15,0,1,0
89.99,1.05,1.0,6.0,16,16,9,1,0
178.59,4.55,3701.0,6.4,32,17,0,1,0
219.99,4.25,119.0,6.6,128,0,1,1,0
79.99,3.75,985.0,6.52,32.00,18,13,1,0
30.19,1.05,1.0,2.4,32.0,10,15,1,0
58.89,4.35,126.0,6.51,32,9,16,0,0
19.95,4.15,117.0,6.0,,19,17,0,0
149.99,4.25,5018.0,6.53,256,20,18,1,0
80.0,3.85,1498.0,5.7,32.0,0,1,1,1
85.0,3.95,2693.0,5.83,32,0,1,1,1
104.99,3.85,714.0,6.52,512,21,5,1,0
143.0,4.35,50695.0,4.7,64,16,19,1,1
46.75,3.45,635.0,5.0,16,9,7,1,0
1199.99,4.75,35.0,6.8,256,10,1,1,0
88.0,3.75,86.0,2.8,512,9,5,1,0
119.99,5.05,1.0,6.6,64,0,0,0,0
85.85,3.95,322.0,6.53,32.00,22,13,1,0
169.9,4.45,25497.0,5.5,64,23,19,1,1
29.88,4.15,22.0,6.1,32,0,4,0,0
270.99,4.05,3987.0,6.3,128,24,1,1,1
188.0,3.85,65.0,6.0,128,25,1,0,0
168.0,4.45,1003.0,6.4,128,26,0,1,0
99.99,4.15,99.0,6.1,32,0,18,1,0
69.99,3.75,130.0,2.0,16.00,27,20,1,0
69.0,3.65,921.0,2.4,4,28,5,1,0
239.99,4.05,296.0,6.5,256.00,11,13,1,0
26.99,4.75,34.0,6.0,,19,17,0,0
799.99,4.15,15.0,6.1,128,29,1,1,0
109.98,4.05,105.0,6.5,32,0,1,1,0
173.0,4.35,251.0,6.8,128,30,0,1,0
149.0,4.45,8623.0,5.6,64,5,3,1,0
154.0,4.35,3051.0,9.7,16,31,19,0,1
199.99,4.35,404.0,6.5,256,36,0,1,0
115.0,3.65,86.0,6.5,32,0,1,1,1
49.99,3.25,16.0,5.5,32,37,18,1,1
125.0,4.25,463.0,5.8,128,0,1,1,1
149.99,4.25,202.0,5.5,64,0,21,1,0
189.99,1.05,1.0,6.0,128,0,22,1,0
69.99,3.45,211.0,1.8,16,0,20,1,0
89.99,2.55,3.0,6.0,16,0,23,1,0
99.99,3.75,5.0,6.5,128,0,16,0,0
147.59,2.55,3.0,6.5,128.0,38,24,1,0
293.67,3.75,442.0,6.82,128,39,5,1,0
732.74,4.45,509.0,6.0,256,8,1,1,0
92.75,3.95,969.0,6.4,32,0,1,1,1
85.84,3.95,322.0,6.53,32.00,40,13,1,0
189.99,3.75,179.0,6.7,6,41,13,1,0
1199.99,4.55,41.0,6.8,256,8,1,1,0
119.0,4.35,442.0,6.5,64,0,2,0,0
21.99,3.65,94.0,1.8,300 ,0,25,1,0
214.94,3.75,104.0,6.13,128,3,3,1,1
69.99,4.75,8.0,6.52,128,0,16,0,0
16.33,3.95,913.0,6.0,,19,17,0,0
139.99,4.15,139.0,6.52,128.00,42,13,1,0
49.99,3.35,2823.0,4.0,16,0,7,1,0
129.99,4.25,1342.0,6.52,64,43,18,1,0
49.88,4.25,644.0,6.5,32,0,2,0,0
123.0,4.05,618.0,6.2,128,5,3,1,1
124.99,4.05,355.0,6.5,64,0,1,1,1
79.99,1.95,6.0,6.0,16,0,26,1,0
159.99,3.75,222.0,6.53,4.00,44,13,1,0
129.99,4.25,1342.0,6.52,64,43,18,1,0
1199.99,4.25,18.0,6.8,256,45,1,1,0
89.99,1.05,1.0,6.0,16,16,23,1,0
259.0,3.65,56.0,6.5,8,0,14,0,0
109.99,3.35,97.0,6.95,64,0,27,1,0
99.99,3.85,3030.0,6.5,3,46,12,1,0
268.72,4.25,440.0,6.4,128.0,47,1,1,1
37.06,3.95,12.0,2.2,16.0,48,28,1,0
189.99,3.75,179.0,6.7,6,49,13,1,0
197.5,4.25,441.0,6.6,4,50,1,1,0
139.99,3.95,549.0,6.53,64.00,9,13,1,0
28.95,3.75,453.0,2.8,32.0,0,7,1,0
178.5,3.85,496.0,6.5,128,9,1,1,0
393.0,4.35,2949.0,6.4,128,51,3,1,0
204.0,4.15,4573.0,6.2,128.0,4,1,1,1
1499.99,4.35,18.0,6.0,256,52,1,1,0
129.99,4.25,1342.0,6.52,64,23,18,1,0
3799.99,5.05,1.0,6.0,,19,17,0,0
189.99,3.75,179.0,6.7,128.0,53,13,1,0
39.99,4.55,18491.0,6.0,,19,17,0,0
99.99,5.05,1.0,6.0,,54,29,1,0
79.99,3.75,985.0,6.52,32.00,42,13,1,0
27.99,4.15,23.0,6.0,,19,17,0,0
139.99,3.75,222.0,6.53,32,50,13,1,0
189.99,3.75,179.0,6.7,6,18,13,1,0
1699.99,5.05,2.0,6.0,,19,17,0,0
129.99,3.65,132.0,6.82,64.0,0,21,1,0
79.99,3.75,985.0,6.52,32.00,0,13,1,0
519.99,4.15,15.0,6.7,128,51,3,1,0
149.99,3.65,446.0,6.53,32.00,55,13,1,0
1099.99,4.65,621.0,6.0,,19,17,0,0
149.99,4.35,1510.0,9.7,64,31,19,0,1
11.99,4.15,17.0,6.0,,19,17,0,0
169.99,3.75,222.0,6.53,128.0,50,13,1,0
79.99,3.75,985.0,6.52,32.00,18,13,1,0
169.99,1.45,30.0,6.0,1024,0,30,1,0
48.4,3.45,5.0,1.44,32.0,56,24,0,0
79.99,1.95,6.0,6.0,16,16,26,1,0
549.99,5.05,1.0,6.0,,19,17,0,0
159.99,3.75,222.0,6.53,4.00,11,13,1,0
359.99,4.55,2.0,6.0,128,57,1,1,0
57.98,3.55,560.0,5.0,16,58,31,1,0
189.0,4.15,426.0,9.7,64,31,19,0,1
159.99,3.65,446.0,6.53,64.00,59,13,1,0
129.99,3.75,222.0,6.53,32,60,13,1,0
14.99,4.15,115.0,6.0,,19,17,0,0
359.99,4.55,2.0,6.0,128,57,1,1,0
104.99,3.85,714.0,6.52,512,21,5,1,0
501.49,4.55,133.0,6.0,,19,17,0,0
159.99,3.75,222.0,6.53,4.00,60,13,1,0
17.99,3.25,15.0,6.0,,19,17,0,0
249.0,4.05,49.0,9.7,16,32,19,1,1
99.99,3.95,1067.0,6.0,16,10,12,1,0
64.99,3.65,38.0,5.5,2,0,27,0,0
59.98,4.35,26.0,6.0,,19,17,0,0
139.99,3.75,320.0,6.52,128.00,0,13,1,0
129.99,3.55,47.0,6.52,128,10,21,1,0
13.99,4.35,61.0,6.0,,19,17,0,0
18.67,5.05,493.0,6.0,,19,17,0,0
129.99,3.45,492.0,6.7,128.00,61,13,1,0
189.99,1.05,1.0,6.0,128,62,30,1,0
59.46,3.45,286.0,5.0,16,0,31,1,0
69.99,3.65,38.0,5.5,2,10,27,0,0
449.99,4.25,420.0,6.0,,19,17,0,0
71.99,4.55,2.0,6.0,64,62,32,1,0
79.99,1.95,6.0,6.0,16,17,26,1,0
38.99,4.05,1065.0,6.0,,19,17,0,0
169.0,4.15,20.0,6.0,,19,17,0,0
129.99,3.65,132.0,6.82,64,9,21,1,0
104.99,3.65,315.0,6.52,512,63,5,1,0
159.99,3.75,34.0,10.0,128,31,33,0,0
99.99,3.85,716.0,10.1,32,31,33,0,0
99.99,4.35,142.0,6.0,16,64,34,1,0
13.99,4.75,179.0,6.0,,19,17,0,0
97.99,3.45,30.0,6.5,64,0,31,1,0
199.99,3.75,320.0,6.5,128.00,11,13,1,0
13.99,4.35,61.0,6.0,,19,17,0,0
369.99,4.35,1124.0,6.0,,19,17,0,0
1398.0,3.75,25.0,6.5,512,0,35,1,0
168.99,4.65,3.0,6.8,128,10,36,1,0
69.99,3.85,123.0,1.8,16,0,20,1,0
32.99,4.55,229.0,6.0,,19,17,0,0
169.99,4.35,31.0,6.7,128,65,13,1,0
89.99,3.85,247.0,6.95,4,10,27,1,0
139.99,3.95,549.0,6.53,64.00,10,13,1,0
339.99,4.55,79.0,6.3,15,16,34,1,0
799.99,5.05,7.0,6.1,128,8,1,1,0
199.99,3.85,113.0,6.6,64,0,1,1,0
89.99,3.95,322.0,6.53,64.00,0,13,1,0
439.99,3.95,89.0,6.78,256.0,0,10,1,0
799.99,4.15,15.0,6.1,128,29,1,1,0
3799.99,5.05,1.0,6.0,,19,17,0,0
19.95,4.15,117.0,6.0,,19,17,0,0
239.0,3.05,8.0,6.8,4,9,11,1,0
39.99,4.55,18491.0,6.0,,19,17,0,0
26.99,4.75,34.0,6.0,,19,17,0,0
85.84,3.95,322.0,6.53,32.00,40,13,1,0
799.99,4.45,8.0,6.1,128,10,1,1,0
1699.99,5.05,2.0,6.0,,19,17,0,0
85.85,3.95,322.0,6.53,32.00,22,13,1,0
1199.99,4.55,41.0,6.8,256,8,1,1,0
1099.99,4.65,621.0,6.0,,19,17,0,0
27.99,4.15,23.0,6.0,,19,17,0,0
549.99,5.05,1.0,6.0,,19,17,0,0
1199.99,4.25,18.0,6.8,256,45,1,1,0
79.99,3.75,985.0,6.52,32.00,42,13,1,0
189.99,3.75,179.0,6.7,6,41,13,1,0
159.99,3.75,222.0,6.53,4.00,44,13,1,0
189.99,3.75,179.0,6.7,6,49,13,1,0
79.99,3.75,985.0,6.52,32.00,18,13,1,0
501.49,4.55,133.0,6.0,,19,17,0,0
17.99,3.25,15.0,6.0,,19,17,0,0
57.98,3.55,560.0,5.0,16,58,31,1,0
139.99,3.75,222.0,6.53,32,50,13,1,0
189.99,3.75,179.0,6.7,128.0,53,13,1,0
79.99,3.75,985.0,6.52,32.00,0,13,1,0
11.99,4.15,17.0,6.0,,19,17,0,0
169.99,3.75,222.0,6.53,128.0,50,13,1,0
64.99,3.65,38.0,5.5,2,0,27,0,0
189.99,3.75,179.0,6.7,6,18,13,1,0
149.99,3.65,446.0,6.53,32.00,55,13,1,0
449.99,4.25,420.0,6.0,,19,17,0,0
159.99,3.75,222.0,6.53,4.00,11,13,1,0
159.99,3.65,446.0,6.53,64.00,59,13,1,0
14.99,4.15,115.0,6.0,,19,17,0,0
13.99,4.35,61.0,6.0,,19,17,0,0
169.99,1.45,30.0,6.0,1024,0,30,1,0
129.99,3.75,222.0,6.53,32,60,13,1,0
159.99,3.75,222.0,6.53,4.00,60,13,1,0
13.99,4.75,179.0,6.0,,19,17,0,0
104.99,3.85,714.0,6.52,512,21,5,1,0
69.99,3.65,38.0,5.5,2,10,27,0,0
59.46,3.45,286.0,5.0,16,0,31,1,0
18.67,5.05,493.0,6.0,,19,17,0,0
38.99,4.05,1065.0,6.0,,19,17,0,0
169.0,4.15,20.0,6.0,,19,17,0,0
99.99,3.95,1067.0,6.0,16,10,12,1,0
159.99,3.75,34.0,10.0,128,31,33,0,0
519.99,4.15,15.0,6.7,128,51,3,1,0
97.99,3.45,30.0,6.5,64,0,31,1,0
199.99,4.15,1766.0,6.0,,19,17,1,0
369.99,4.35,1124.0,6.0,,19,17,0,0
1398.0,3.75,25.0,6.5,512,0,35,1,0
899.99,3.45,3.0,6.0,,19,17,0,0
168.99,4.65,3.0,6.8,128,10,36,1,0
13.99,4.35,61.0,6.0,,19,17,0,0
99.99,3.85,716.0,10.1,32,31,33,0,0
94.99,3.85,247.0,6.95,4,0,27,1,0
104.99,3.65,315.0,6.52,512,63,5,1,0
69.99,3.85,123.0,1.8,16,0,20,1,0
139.99,4.05,5.0,6.0,,19,17,0,0
129.99,3.65,132.0,6.82,64.0,0,21,1,0
339.99,4.55,79.0,6.3,15,0,34,1,0
168.99,4.65,3.0,6.8,128,66,36,1,0
139.99,3.95,549.0,6.53,64.00,9,13,1,0
139.99,3.95,549.0,6.53,64.00,0,13,1,0
199.99,4.15,1766.0,6.0,,19,17,1,0
99.34,1.05,1.0,2.5,8,0,37,1,0
48.66,4.55,2.0,2.5,8,67,37,1,0
259.99,4.05,296.0,6.5,128.00,68,13,1,0
99.99,4.35,142.0,6.0,16,64,34,1,0
70.99,3.45,88.0,6.0,8,9,38,1,0
129.99,3.55,47.0,6.52,128,10,21,1,0
149.99,1.05,2.0,7.3,128,10,39,1,0
799.99,5.05,7.0,6.1,128,8,1,1,0
199.99,3.85,113.0,6.6,64,0,1,1,0
3799.99,5.05,1.0,6.0,,19,17,0,0
89.99,3.95,322.0,6.53,64.00,0,13,1,0
19.95,4.15,117.0,6.0,,19,17,0,0
239.0,3.05,8.0,6.8,4,9,11,1,0
799.99,4.15,15.0,6.1,128,29,1,1,0
1699.99,5.05,2.0,6.0,,19,17,0,0
39.99,4.55,18491.0,6.0,,19,17,0,0
26.99,4.75,34.0,6.0,,19,17,0,0
85.85,3.95,322.0,6.53,32.00,22,13,1,0
85.84,3.95,322.0,6.53,32.00,40,13,1,0
549.99,5.05,1.0,6.0,,19,17,0,0
799.99,4.45,8.0,6.1,128,10,1,1,0
27.99,4.15,23.0,6.0,,19,17,0,0
501.49,4.55,133.0,6.0,,19,17,0,0
1199.99,4.55,41.0,6.8,256,8,1,1,0
189.99,3.75,179.0,6.7,6,41,13,1,0
159.99,3.75,222.0,6.53,4.00,44,13,1,0
79.99,3.75,985.0,6.52,32.00,42,13,1,0
57.98,3.55,560.0,5.0,16,58,31,1,0
1199.99,4.25,18.0,6.8,256,45,1,1,0
189.99,3.75,179.0,6.7,6,49,13,1,0
11.99,4.15,17.0,6.0,,19,17,0,0
79.99,3.75,985.0,6.52,32.00,0,13,1,0
139.99,3.75,222.0,6.53,32,50,13,1,0
17.99,3.25,15.0,6.0,,19,17,0,0
189.99,3.75,179.0,6.7,128.0,53,13,1,0
79.99,3.75,985.0,6.52,32.00,18,13,1,0
449.99,4.25,420.0,6.0,,19,17,0,0
13.99,4.75,179.0,6.0,,19,17,0,0
169.99,3.75,222.0,6.53,128.0,50,13,1,0
159.99,3.65,446.0,6.53,64.00,59,13,1,0
189.99,3.75,179.0,6.7,6,18,13,1,0
14.99,4.15,115.0,6.0,,19,17,0,0
64.99,3.65,38.0,5.5,2,0,27,0,0
159.99,3.75,222.0,6.53,4.00,11,13,1,0
149.99,3.65,446.0,6.53,32.00,55,13,1,0
13.99,4.35,61.0,6.0,,19,17,0,0
169.99,1.45,30.0,6.0,1024,0,30,1,0
129.99,3.75,222.0,6.53,32,60,13,1,0
38.99,4.05,1065.0,6.0,,19,17,0,0
159.99,3.75,222.0,6.53,4.00,60,13,1,0
59.46,3.45,286.0,5.0,16,0,31,1,0
69.99,3.65,38.0,5.5,2,10,27,0,0
104.99,3.85,714.0,6.52,512,21,5,1,0
18.67,5.05,493.0,6.0,,19,17,0,0
169.0,4.15,20.0,6.0,,19,17,0,0
899.99,3.45,3.0,6.0,,19,17,0,0
79.95,4.95,45.0,6.0,,19,17,0,0
69.99,3.85,123.0,1.8,16,0,20,1,0
59.98,4.35,26.0,6.0,,19,17,0,0
139.0,3.35,13.0,6.0,,19,17,0,0
39.98,4.45,256.0,6.0,,19,17,0,0
24.95,4.55,52.0,6.0,,19,17,0,0
13.99,4.35,61.0,6.0,,19,17,0,0
369.99,4.35,1124.0,6.0,,19,17,0,0
97.99,3.45,30.0,6.5,64,0,31,1,0
99.99,3.95,1067.0,6.0,16,10,12,1,0
32.99,4.55,229.0,6.0,,19,17,0,0
199.99,4.15,1766.0,6.0,,19,17,1,0
519.99,4.15,15.0,6.7,128,51,3,1,0
89.99,3.85,247.0,6.95,4,10,27,1,0
168.99,4.65,3.0,6.8,128,10,36,1,0
159.99,3.75,34.0,10.0,128,31,33,0,0
139.99,4.05,5.0,6.0,,19,17,0,0
1398.0,3.75,25.0,6.5,512,0,35,1,0
104.99,3.65,315.0,6.52,512,63,5,1,0
139.99,3.95,549.0,6.53,64.00,10,13,1,0
28.97,4.55,28133.0,6.0,,19,17,0,0
99.99,3.85,716.0,10.1,32,31,33,0,0
339.99,4.55,79.0,6.3,15,16,34,1,0
94.99,3.85,247.0,6.95,4,0,27,1,0
168.99,4.65,3.0,6.8,128,66,36,1,0
139.99,3.95,549.0,6.53,64.00,9,13,1,0
129.99,3.65,132.0,6.82,64.0,0,21,1,0
339.99,4.55,79.0,6.3,15,0,34,1,0
99.34,1.05,1.0,2.5,8,0,37,1,0
13.99,4.35,61.0,6.0,,19,17,0,0
199.99,4.15,1766.0,6.0,,19,17,1,0
139.99,3.95,549.0,6.53,64.00,0,13,1,0
48.66,4.55,2.0,2.5,8,67,37,1,0
9.89,4.45,95.0,6.0,,19,17,0,0
199.99,4.15,1766.0,6.0,,19,17,1,0
139.99,3.75,320.0,6.52,128.00,0,13,1,0
89.99,3.15,274.0,3.5,64.0,58,40,1,0
49.99,4.45,130.0,6.0,,19,17,0,0
168.99,4.65,3.0,6.8,128,0,36,1,0
149.0,2.45,12.0,6.8,128,0,41,1,0
799.99,5.05,7.0,6.1,128,8,1,1,0
3799.99,5.05,1.0,6.0,,19,17,0,0
199.99,3.85,113.0,6.6,64,0,1,1,0
89.99,3.95,322.0,6.53,64.00,0,13,1,0
239.0,3.05,8.0,6.8,4,9,11,1,0
19.95,4.15,117.0,6.0,,19,17,0,0
799.99,4.15,15.0,6.1,128,29,1,1,0
1699.99,5.05,2.0,6.0,,19,17,0,0
39.99,4.55,18491.0,6.0,,19,17,0,0
26.99,4.75,34.0,6.0,,19,17,0,0
85.85,3.95,322.0,6.53,32.00,22,13,1,0
799.99,4.45,8.0,6.1,128,10,1,1,0
85.84,3.95,322.0,6.53,32.00,40,13,1,0
501.49,4.55,133.0,6.0,,19,17,0,0
549.99,5.05,1.0,6.0,,19,17,0,0
159.99,3.75,222.0,6.53,4.00,44,13,1,0
1199.99,4.25,18.0,6.8,256,45,1,1,0
27.99,4.15,23.0,6.0,,19,17,0,0
11.99,4.15,17.0,6.0,,19,17,0,0
449.99,4.25,420.0,6.0,,19,17,0,0
189.99,3.75,179.0,6.7,6,41,13,1,0
79.99,3.75,985.0,6.52,32.00,0,13,1,0
1199.99,4.55,41.0,6.8,256,8,1,1,0
189.99,3.75,179.0,6.7,6,49,13,1,0
13.99,4.75,179.0,6.0,,19,17,0,0
17.99,3.25,15.0,6.0,,19,17,0,0
79.99,3.75,985.0,6.52,32.00,42,13,1,0
169.99,3.75,222.0,6.53,128.0,50,13,1,0
189.99,3.75,179.0,6.7,128.0,53,13,1,0
79.99,3.75,985.0,6.52,32.00,18,13,1,0
14.99,4.15,115.0,6.0,,19,17,0,0
139.99,3.75,222.0,6.53,32,50,13,1,0
64.99,3.65,38.0,5.5,2,0,27,0,0
159.99,3.65,446.0,6.53,64.00,59,13,1,0
189.99,3.75,179.0,6.7,6,18,13,1,0
13.99,4.35,61.0,6.0,,19,17,0,0
159.99,3.75,222.0,6.53,4.00,11,13,1,0
59.46,3.45,286.0,5.0,16,0,31,1,0
149.99,3.65,446.0,6.53,32.00,55,13,1,0
899.99,3.45,3.0,6.0,,19,17,0,0
169.99,1.45,30.0,6.0,1024,0,30,1,0
69.99,3.65,38.0,5.5,2,10,27,0,0
38.99,4.05,1065.0,6.0,,19,17,0,0
18.67,5.05,493.0,6.0,,19,17,0,0
369.99,4.35,1124.0,6.0,,19,17,0,0
129.99,3.75,222.0,6.53,32,60,13,1,0
169.0,4.15,20.0,6.0,,19,17,0,0
104.99,3.85,714.0,6.52,512,21,5,1,0
159.99,3.75,222.0,6.53,4.00,60,13,1,0
97.99,3.45,30.0,6.5,64,0,31,1,0
199.99,4.15,1766.0,6.0,,19,17,1,0
159.99,3.75,34.0,10.0,128,31,33,0,0
89.99,3.85,247.0,6.95,4,10,27,1,0
99.99,3.95,1067.0,6.0,16,10,12,1,0
99.99,3.85,716.0,10.1,32,31,33,0,0
519.99,4.15,15.0,6.7,128,51,3,1,0
1398.0,3.75,25.0,6.5,512,0,35,1,0
168.99,4.65,3.0,6.8,128,10,36,1,0
13.99,4.35,61.0,6.0,,19,17,0,0
139.99,4.05,5.0,6.0,,19,17,0,0
339.99,4.55,79.0,6.3,15,16,34,1,0
104.99,3.65,315.0,6.52,512,63,5,1,0
94.99,3.85,247.0,6.95,4,0,27,1,0
32.99,4.55,229.0,6.0,,19,17,0,0
139.99,3.95,549.0,6.53,64.00,10,13,1,0
168.99,4.65,3.0,6.8,128,66,36,1,0
199.99,4.15,1766.0,6.0,,19,17,1,0
139.99,3.95,549.0,6.53,64.00,9,13,1,0
339.99,4.55,79.0,6.3,15,0,34,1,0
129.99,3.65,132.0,6.82,64.0,0,21,1,0
89.99,3.15,274.0,3.5,64.0,58,40,1,0
69.99,3.85,123.0,1.8,16,0,20,1,0
139.99,3.95,549.0,6.53,64.00,0,13,1,0
259.99,4.05,296.0,6.5,128.00,68,13,1,0
48.66,4.55,2.0,2.5,8,67,37,1,0
99.34,1.05,1.0,2.5,8,0,37,1,0
28.97,4.55,28133.0,6.0,,19,17,0,0
199.99,4.15,1766.0,6.0,,19,17,1,0
99.99,4.35,142.0,6.0,16,64,34,1,0
70.99,3.45,88.0,6.0,8,9,38,1,0
129.99,3.55,47.0,6.52,128,10,21,1,0
13.99,4.35,61.0,6.0,,19,17,0,0
149.99,1.05,2.0,7.3,128,10,39,1,0
14.99,4.15,132.0,6.0,,19,17,0,0
139.0,3.35,13.0,6.0,,19,17,0,0
139.99,3.75,320.0,6.52,128.00,0,13,1,0
1199.99,4.25,18.0,6.8,256,45,1,1,0
3799.99,5.05,1.0,6.0,,19,17,0,0
199.99,3.85,113.0,6.6,64,0,1,1,0
89.99,3.95,322.0,6.53,64.00,0,13,1,0
19.95,4.15,117.0,6.0,,19,17,0,0
239.0,3.05,8.0,6.8,4,9,11,1,0
1199.99,4.55,41.0,6.8,256,8,1,1,0
1699.99,5.05,2.0,6.0,,19,17,0,0
501.49,4.55,133.0,6.0,,19,17,0,0
39.99,4.55,18491.0,6.0,,19,17,0,0
26.99,4.75,34.0,6.0,,19,17,0,0
85.85,3.95,322.0,6.53,32.00,22,13,1,0
549.99,5.05,1.0,6.0,,19,17,0,0
189.99,3.75,179.0,6.7,6,41,13,1,0
85.84,3.95,322.0,6.53,32.00,40,13,1,0
11.99,4.15,17.0,6.0,,19,17,0,0
27.99,4.15,23.0,6.0,,19,17,0,0
449.99,4.25,420.0,6.0,,19,17,0,0
189.99,3.75,179.0,6.7,6,49,13,1,0
13.99,4.75,179.0,6.0,,19,17,0,0
17.99,3.25,15.0,6.0,,19,17,0,0
159.99,3.75,222.0,6.53,4.00,44,13,1,0
